date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:00:00	108/108	---M-Z	200	added ('OK')	text/plain	etag:%22ce495a47b1defecea9683dc76943604f%22	https://organic-part-035675.framer.app/robots.txt		(from )
18:00:00	739900/739900	---M-Z	200	added ('OK')	text/html	etag:%2225a1c6880e309c33533632a90bbe5d52%22	https://organic-part-035675.framer.app/	C:/Users/ASUS/Desktop/VS%20CODE/FRAMER/TheSweetEscapae/TheSweetEscape/organic-part-035675.framer.app/index.html	(from )
18:00:01	60593/60593	---MC-	200	added ('OK')	image/png	etag:%22a124ce5037b25413f9afb8218900ff3c%22	https://framerusercontent.com/images/ihAjuSWn1nGiHpbB5u24NHY4U.png	C:/Users/ASUS/Desktop/VS%20CODE/FRAMER/TheSweetEscapae/TheSweetEscape/framerusercontent.com/images/ihAjuSWn1nGiHpbB5u24NHY4U.png	(from https://organic-part-035675.framer.app/)
18:00:01	21574/21574	---MC-	200	added ('OK')	image/png	etag:%2260503a556de3818646dc082e17add448%22	https://framerusercontent.com/images/Ie9BjQUBbk3OEPQMK4ibDCr0.png?width=273&height=273	C:/Users/ASUS/Desktop/VS%20CODE/FRAMER/TheSweetEscapae/TheSweetEscape/framerusercontent.com/images/Ie9BjQUBbk3OEPQMK4ibDCr00928.png	(from https://organic-part-035675.framer.app/)
18:00:02	17925/17925	---MC-	200	added ('OK')	image/png	etag:%226e1ae560a592d931d6c1e6642164a170%22	https://framerusercontent.com/images/oAHwLJ5HdgF8sAKhw5CQzdBDc.png?width=200&height=250	C:/Users/ASUS/Desktop/VS%20CODE/FRAMER/TheSweetEscapae/TheSweetEscape/framerusercontent.com/images/oAHwLJ5HdgF8sAKhw5CQzdBDc301c.png	(from https://organic-part-035675.framer.app/)
18:00:03	176908/176908	---MC-	200	added ('OK')	image/png	etag:%22203d9ce6da985bdf8ccf9fedafae338f%22	https://framerusercontent.com/images/zlE3PbT2ybAWsNxFj0RWnvFQc.png?width=512&height=640	C:/Users/ASUS/Desktop/VS%20CODE/FRAMER/TheSweetEscapae/TheSweetEscape/framerusercontent.com/images/zlE3PbT2ybAWsNxFj0RWnvFQc6291.png	(from https://organic-part-035675.framer.app/)
18:00:04	38164/38164	---MC-	200	added ('OK')	image/png	etag:%225188d42c1fa3975192dcf5f65b4495b1%22	https://framerusercontent.com/images/PsagWXljcPbM02VczhSo7ryAhPg.png?width=568&height=576	C:/Users/ASUS/Desktop/VS%20CODE/FRAMER/TheSweetEscapae/TheSweetEscape/framerusercontent.com/images/PsagWXljcPbM02VczhSo7ryAhPgd469.png	(from https://organic-part-035675.framer.app/)
18:00:04	9188/9188	---MC-	200	added ('OK')	image/png	etag:%22d1f5e4d8ce598aef66744ccacd88e0dd%22	https://framerusercontent.com/images/h4VQYEh1bHBe4T2p5QpFs6GOKQs.png?scale-down-to=512&width=445&height=561	C:/Users/ASUS/Desktop/VS%20CODE/FRAMER/TheSweetEscapae/TheSweetEscape/framerusercontent.com/images/h4VQYEh1bHBe4T2p5QpFs6GOKQsa6e8.png	(from https://organic-part-035675.framer.app/)
18:00:04	1617/1617	---MC-	200	added ('OK')	image/png	etag:%2282ce148f17c0d5f0725f5be946e3add5%22	https://framerusercontent.com/images/bRX2FGduFWjkxQtgIvhvAeDFkY.png?width=242&height=239	C:/Users/ASUS/Desktop/VS%20CODE/FRAMER/TheSweetEscapae/TheSweetEscape/framerusercontent.com/images/bRX2FGduFWjkxQtgIvhvAeDFkYf979.png	(from https://organic-part-035675.framer.app/)
18:00:05	6714/6714	---MC-	200	added ('OK')	image/png	etag:%228815fccedefd292852b0b529ff644e87%22	https://framerusercontent.com/images/frRG2JCIW5vOVWbwLVxcX1zQBkM.png?width=500&height=500	C:/Users/ASUS/Desktop/VS%20CODE/FRAMER/TheSweetEscapae/TheSweetEscape/framerusercontent.com/images/frRG2JCIW5vOVWbwLVxcX1zQBkM95a5.png	(from https://organic-part-035675.framer.app/)
